index,start_ts,end_ts,group_size
0,1701388800012000000,1701388832486000000,5000
1,1701389347029000000,1701389413319000000,5000
2,1701390346234000000,1701390403118000000,5000
3,1701389801952000000,1701389828508000000,5000
4,1701390796309000000,1701390845672000000,5000
5,1701391256828000000,1701391322960000000,5000
6,1701392392407000000,1701392434608000000,5000
7,1701391802019000000,1701391850182000000,5000
8,1701392818529000000,1701392851525000000,5000
9,1701393352661000000,1701393403419000000,5000
10,1701393598542000000,1701393621256000000,5000
11,1701393824930000000,1701393842340000000,5000
12,1701388832613000000,1701388863943000000,5000
13,1701389413321000000,1701389465141000000,5000
14,1701390403118000000,1701390438247000000,5000
15,1701389828508000000,1701389860439000000,5000
16,1701390845673000000,1701390890866000000,5000
17,1701391322963000000,1701391354388000000,5000
18,1701392434608000000,1701392470940000000,5000
19,1701391850182000000,1701391868149000000,5000
20,1701392851578000000,1701392906307000000,5000
21,1701393403419000000,1701393416390000000,5000
22,1701393621257000000,1701393638442000000,5000
23,1701393842343000000,1701393860841000000,5000
24,1701388863943000000,1701388904235000000,5000
25,1701389465216000000,1701389496825000000,5000
26,1701390438321000000,1701390483057000000,5000
27,1701389860440000000,1701389882112000000,5000
28,1701390890866000000,1701390917163000000,5000
29,1701391354392000000,1701391406305000000,5000
30,1701392470940000000,1701392520412000000,5000
31,1701391868157000000,1701391901563000000,5000
32,1701392906307000000,1701392945484000000,5000
33,1701393638442000000,1701393660984000000,5000
34,1701393416391000000,1701393430541000000,5000
35,1701393860841000000,1701393878300000000,5000
36,1701388904235000000,1701388943444000000,5000
37,1701390483066000000,1701390569529000000,5000
38,1701390917163000000,1701390953786000000,5000
39,1701389882112000000,1701389927403000000,5000
40,1701389496825000000,1701389523635000000,5000
41,1701391406305000000,1701391435471000000,5000
42,1701392520412000000,1701392551299000000,5000
43,1701391901563000000,1701391967309000000,5000
44,1701392945484000000,1701393000632000000,5000
45,1701393430541000000,1701393453525000000,5000
46,1701393660984000000,1701393687823000000,5000
47,1701393878300000000,1701393895450000000,5000
48,1701388943534000000,1701388973778000000,5000
49,1701390953786000000,1701390966606000000,5000
50,1701390569531000000,1701390607625000000,5000
51,1701389927412000000,1701389963558000000,5000
52,1701389523635000000,1701389551364000000,5000
53,1701391435471000000,1701391463840000000,5000
54,1701392551299000000,1701392589599000000,5000
55,1701391967310000000,1701392041732000000,5000
56,1701393000633000000,1701393041244000000,5000
57,1701393453525000000,1701393470160000000,5000
58,1701393687823000000,1701393708498000000,5000
59,1701393895450000000,1701393907316000000,5000
60,1701388973803000000,1701389041004000000,5000
61,1701390966606000000,1701391004516000000,5000
62,1701390607625000000,1701390642000000000,5000
63,1701389963559000000,1701390006531000000,5000
64,1701389551366000000,1701389613890000000,5000
65,1701391463840000000,1701391511998000000,5000
66,1701392589599000000,1701392654401000000,5000
67,1701393041244000000,1701393087447000000,5000
68,1701393470161000000,1701393503193000000,5000
69,1701393708498000000,1701393730384000000,5000
70,1701393907317000000,1701393910818000000,5000
71,1701392041732000000,1701392099155000000,5000
72,1701389041006000000,1701389084322000000,5000
73,1701390642000000000,1701390680652000000,5000
74,1701391004523000000,1701391031343000000,5000
75,1701389613890000000,1701389676328000000,5000
76,1701390006531000000,1701390057645000000,5000
77,1701391511998000000,1701391577995000000,5000
78,1701392654401000000,1701392711076000000,5000
79,1701393087685000000,1701393150503000000,5000
80,1701393503194000000,1701393526283000000,5000
81,1701393730384000000,1701393753116000000,5000
82,1701393910818000000,1701393922857000000,5000
83,1701392099159000000,1701392132054000000,5000
84,1701389084322000000,1701389123889000000,5000
85,1701390680658000000,1701390729724000000,5000
86,1701391031343000000,1701391098860000000,5000
87,1701389676333000000,1701389708874000000,5000
88,1701390057679000000,1701390113491000000,5000
89,1701391578023000000,1701391649351000000,5000
90,1701392711077000000,1701392743803000000,5000
91,1701393150503000000,1701393205962000000,5000
92,1701393526283000000,1701393536594000000,5000
93,1701393753147000000,1701393772747000000,5000
94,1701393922858000000,1701393932174000000,5000
95,1701392132054000000,1701392194001000000,5000
96,1701391098862000000,1701391150171000000,5000
97,1701389123895000000,1701389190928000000,5000
98,1701390729724000000,1701390756848000000,5000
99,1701389708874000000,1701389761189000000,5000
100,1701390113491000000,1701390175538000000,5000
101,1701391649356000000,1701391728964000000,5000
102,1701392743808000000,1701392782684000000,5000
103,1701393205962000000,1701393264383000000,5000
104,1701393536596000000,1701393561791000000,5000
105,1701393772747000000,1701393790212000000,5000
106,1701393932174000000,1701393942737000000,5000
107,1701392194002000000,1701392258543000000,5000
108,1701391150171000000,1701391201970000000,5000
109,1701389190931000000,1701389267031000000,5000
110,1701390756848000000,1701390796244000000,5000
111,1701389761200000000,1701389801805000000,5000
112,1701390175539000000,1701390262465000000,5000
113,1701391728964000000,1701391802019000000,5000
114,1701392782698000000,1701392818529000000,5000
115,1701393264383000000,1701393305039000000,5000
116,1701393561791000000,1701393584641000000,5000
117,1701393790212000000,1701393812546000000,5000
118,1701393942758000000,1701393950891000000,5000
119,1701392258552000000,1701392321835000000,5000
120,1701391201970000000,1701391256805000000,5000
121,1701389267032000000,1701389347029000000,5000
122,1701390262465000000,1701390346227000000,5000
123,1701393305039000000,1701393352660000000,5000
124,1701393584650000000,1701393598511000000,5000
125,1701393812548000000,1701393824930000000,5000
126,1701392321852000000,1701392392302000000,5000
